episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
8,21667900,6704944,1,2019-01-03 12:01:42,2019-01-03 12:01:42,Sharp Objects,1
2,21667900,6710020,1,2019-01-01 16:31:52,2019-01-01 16:31:52,Poldark (2015),4
1,21667900,6711743,1,2019-11-26 05:52:41,2019-11-26 05:52:41,Gentleman Jack,1
1,21667900,6718810,1,2018-08-06 09:24:06,2018-08-06 09:24:06,Anne with an E,2
1,21667900,6733508,1,2018-12-08 05:06:09,2018-12-08 05:06:09,Bodyguard (2018),1
2,21667900,6733509,1,2018-12-08 06:07:35,2018-12-08 06:07:35,Bodyguard (2018),1
3,21667900,6733510,1,2018-12-08 09:29:29,2018-12-08 09:29:29,Bodyguard (2018),1
6,21667900,6733513,1,2018-12-08 16:28:55,2018-12-08 16:28:55,Bodyguard (2018),1
13,21667900,6738344,1,2018-07-13 13:20:27,2018-07-13 13:20:27,The Handmaid's Tale,2
3,21667900,6751907,1,2018-08-05 09:52:56,2018-08-05 09:52:56,Anne with an E,2
4,21667900,6751908,1,2018-08-05 10:26:49,2018-08-05 10:26:49,Anne with an E,2
7,21667900,6751911,1,2018-08-05 16:24:44,2018-08-05 16:24:44,Anne with an E,2
8,21667900,6751912,1,2018-08-06 04:25:10,2018-08-06 04:25:10,Anne with an E,2
9,21667900,6751913,1,2018-08-06 08:08:44,2018-08-06 08:08:44,Anne with an E,2
10,21667900,6751914,1,2018-08-06 09:19:42,2018-08-06 09:19:42,Anne with an E,2
3,21667900,6757077,1,2024-05-18 23:26:42,2024-05-18 23:26:42,Better Call Saul,4
5,21667900,6762373,1,2018-10-30 05:25:52,2018-10-30 05:25:52,Chilling Adventures of Sabrina,1
1,21667900,6765383,1,2019-01-06 05:44:11,2019-01-06 05:44:11,The Little Drummer Girl,1
2,21667900,6765384,1,2019-01-06 06:43:23,2019-01-06 06:43:23,The Little Drummer Girl,1
3,21667900,6765385,1,2019-01-06 11:03:02,2019-01-06 11:03:02,The Little Drummer Girl,1
4,21667900,6765386,1,2019-01-07 06:03:10,2019-01-07 06:03:10,The Little Drummer Girl,1
5,21667900,6765387,1,2019-01-07 09:54:42,2019-01-07 09:54:42,The Little Drummer Girl,1
6,21667900,6765388,1,2019-01-07 10:55:57,2019-01-07 10:55:57,The Little Drummer Girl,1
1,21667900,6768101,1,2018-12-14 09:37:48,2018-12-14 09:37:48,The Man in the High Castle,3
2,21667900,6769073,1,2018-12-14 10:35:03,2018-12-14 10:35:03,The Man in the High Castle,3
1,21667900,6770149,1,2019-01-01 10:41:29,2019-01-01 10:41:29,Escape at Dannemora,1
5,21667900,6775604,1,2020-04-19 17:25:34,2020-04-19 17:25:34,Tom Clancy's Jack Ryan,1
6,21667900,6775605,1,2020-04-19 17:25:55,2020-04-19 17:25:55,Tom Clancy's Jack Ryan,1
7,21667900,6775606,1,2020-04-20 05:49:49,2020-04-20 05:49:49,Tom Clancy's Jack Ryan,1
8,21667900,6775607,1,2020-04-20 09:06:39,2020-04-20 09:06:39,Tom Clancy's Jack Ryan,1
1,21667900,6780571,1,2018-11-10 12:53:18,2018-11-10 12:53:18,Outlander,4
7,21667900,6782558,1,2024-05-22 18:13:52,2024-05-22 18:13:52,Better Call Saul,4
1,21667900,6786303,1,2018-11-23 05:37:37,2018-11-23 05:37:37,A Discovery of Witches,1
