season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
1,5,7221011,21667900,7804470e-367d-4589-885f-a15ba217393c,7221011-21667900-29,The Loudest Voice
1,3,7221013,21667900,6d8ad694-9571-446e-ac74-b6c1807d10ba,7221013-21667900-3,The Loudest Voice
1,19,7222645,21667900,83522f1a-ec01-455d-bc15-d8c4f40f9017,7222645-21667900-3,Demon Slayer: Kimetsu no Yaiba
1,26,7222660,21667900,ce2ae814-aa33-44f7-b272-12f21e4b84a2,7222660-21667900-3,Demon Slayer: Kimetsu no Yaiba
4,1,7240720,21667900,dc464fb5-4723-455c-accb-75281cbdf84c,7240720-21667900-3,This Is Us
1,4,7244100,21667900,6ff8d96f-3c91-4748-88c6-6c2b6e5ed136,7244100-21667900-3,Vinland Saga
3,2,7271099,21667900,7555951c-2cf8-4e54-b235-e9b16f5cf480,7271099-21667900-3,Harlots
1,5,7288526,21667900,e1eecdd9-f218-4f4e-a0f8-e49a370bcebc,7288526-21667900-3,Unbelievable
1,7,7288537,21667900,c4315d74-7f45-4dbd-aa03-decc7f50631c,7288537-21667900-3,Unbelievable
1,7,7298128,21667900,293b4b60-4a03-4951-876d-cf9c71769be4,7298128-21667900-3,Euphoria (US)
3,1,7306300,21667900,37023cf2-4dff-415e-b66d-e877dc99f58c,7306300-21667900-27,13 Reasons Why
3,1,7306300,21667900,37023cf2-4dff-415e-b66d-e877dc99f58c,7306300-21667900-28,13 Reasons Why
2,7,7314592,21667900,7f2deeef-a2e0-4f83-9a2f-e34f5db36c0d,7314592-21667900-3,MINDHUNTER
3,13,7328174,21667900,04d9c84a-417a-4118-a066-3cde65d286fc,7328174-21667900-3,13 Reasons Why
4,2,7337980,21667900,0f1f6e2e-26b9-4d1b-b87a-72a387097571,7337980-21667900-3,This Is Us
1,2,7357130,21667900,ed8d5338-b018-405d-92ba-55a0676280b1,7357130-21667900-29,Mrs. Fletcher
1,3,7357136,21667900,be0e2df3-8122-4261-bcd6-d58aa25354fa,7357136-21667900-3,Mrs. Fletcher
1,4,7362279,21667900,68f0d897-20c5-4c1f-a8d0-8546bfde2349,7362279-21667900-29,Mrs. Fletcher
1,5,7362284,21667900,bb67bf30-9bad-4ddb-933f-772ff3f14e60,7362284-21667900-29,Mrs. Fletcher
5,2,7363291,21667900,82213979-012b-4c99-9d2c-ba75b8e8e17d,7363291-21667900-3,Lucifer
1,4,7398586,21667900,051223f4-4b23-4ab9-a5a9-d17dceb88d56,7398586-21667900-29,Watchmen
