folder_id,archived,created_at,diffusion,updated_at,active,notification_type,notification_offset,tv_show_name,user_id,tv_show_id
,1,2020-08-31 05:52:06,original,2021-02-20 06:42:34,1,2,1440,One-Punch Man,21667900,293088
,0,2018-08-06 08:11:43,original,2018-08-06 08:11:43,1,2,1440,Between,21667900,293194
,0,2018-07-10 16:24:09,original,2018-07-10 16:24:09,1,2,1440,Scream Queens,21667900,293302
,0,2018-07-22 05:38:27,original,2018-07-22 05:38:27,1,2,1440,Scream: The TV Series,21667900,294417
,0,2018-11-01 11:40:11,original,2018-11-01 11:40:11,1,2,1440,Recovery Road,21667900,294882
,0,2018-07-09 15:29:37,original,2018-07-09 15:29:37,1,2,1440,Dragon Ball Super,21667900,295068
,0,2018-09-29 08:52:56,original,2018-09-29 08:52:56,1,2,1440,Quantico,21667900,295515
,0,2019-09-15 12:46:06,original,2019-09-15 12:46:06,0,2,1440,Best Friends Whenever,21667900,295577
,0,2018-08-15 08:53:07,original,2018-08-15 08:53:07,1,2,1440,Blindspot,21667900,295647
,0,2018-11-27 16:46:20,original,2018-11-27 16:46:20,1,2,1440,Second Chance (2016),21667900,295684
,0,2018-06-27 08:50:49,original,2018-06-27 08:50:49,1,2,1440,Lucifer,21667900,295685
,0,2018-11-10 16:30:53,original,2018-11-10 16:30:53,1,2,1440,Limitless,21667900,295743
,0,2018-10-22 04:19:48,original,2018-11-13 04:55:05,0,2,1440,DC's Legends of Tomorrow,21667900,295760
,0,2018-10-07 12:49:12,original,2018-10-07 12:49:12,1,2,1440,The Man in the High Castle,21667900,295829
,0,2018-06-26 17:21:39,original,2018-06-26 17:21:39,1,2,1440,Shadowhunters,21667900,295837
,0,2018-06-26 16:55:26,original,2018-06-26 16:55:26,1,2,1440,Ash vs Evil Dead,21667900,296295
,0,2018-06-26 14:38:46,original,2019-07-09 12:08:30,1,2,1440,Westworld,21667900,296762
,1,2020-07-10 13:18:42,original,2020-07-23 16:34:56,1,2,1440,The Girlfriend Experience,21667900,297346
,0,2018-06-26 16:48:32,original,2018-06-26 16:48:32,1,2,1440,The Last Kingdom,21667900,298566
,0,2018-08-05 13:52:19,original,2018-08-05 13:52:19,1,2,1440,Master of None,21667900,298901
,0,2018-06-26 17:25:15,original,2018-06-26 17:25:15,1,2,1440,The Magicians (2015),21667900,299139
,0,2018-07-24 13:17:37,original,2018-07-24 13:17:37,1,2,1440,Project Mc²,21667900,299260
,0,2018-06-26 17:16:19,original,2018-06-26 17:16:19,1,2,1440,War & Peace (2016),21667900,299408
,0,2019-06-09 05:17:00,original,2019-06-09 05:17:00,1,2,1440,Doctor Foster,21667900,299845
,0,2018-10-01 08:24:20,original,2018-10-01 08:24:20,1,2,1440,And Then There Were None,21667900,299855
,0,2018-07-17 16:18:51,original,2018-07-17 16:18:51,1,2,1440,Sneaky Pete,21667900,300166
,0,2018-10-30 09:25:18,original,2018-10-30 09:25:18,1,2,1440,Versailles (2015),21667900,300280
,0,2018-11-06 07:31:17,original,2018-11-06 07:31:17,1,2,1440,Elise's Secret,21667900,300699
,0,2018-10-01 08:20:11,original,2018-10-01 08:20:11,1,2,1440,Dickensian,21667900,301224
,0,2018-07-16 10:29:06,original,2018-07-16 10:29:06,1,2,1440,River,21667900,301608
,0,2018-06-27 12:33:38,original,2018-06-27 12:33:38,1,2,1440,11.22.63,21667900,301824
,0,2018-07-22 05:38:40,original,2020-08-19 03:39:02,1,2,1440,Victoria,21667900,302205
,0,2018-07-24 13:23:24,original,2018-07-24 13:23:24,1,2,1440,Erased,21667900,303071
,0,2018-09-23 04:48:37,original,2018-09-23 04:48:37,1,2,1440,Making a Murderer,21667900,303210
,0,2019-02-11 08:37:30,original,2019-02-11 08:37:30,1,2,1440,Skam,21667900,303786
,0,2018-08-15 08:55:18,original,2018-08-15 08:55:18,1,2,1440,The Path,21667900,304196
,0,2018-08-06 08:11:22,original,2018-08-06 08:11:22,1,2,1440,Marvel's Luke Cage,21667900,304219
,0,2018-09-06 16:09:44,original,2018-09-06 16:09:44,1,2,1440,Animal Kingdom (2016),21667900,304262
,0,2023-03-11 22:33:48,original,2023-03-11 22:33:48,1,2,1440,My Hero Academia,21667900,305074
