episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
5388444,2018-12-10 09:27:36,1,7,21667900,64607387,2018-12-10 09:27:36,,The Man in the High Castle
5388445,2018-12-10 12:44:15,1,8,21667900,64607381,2018-12-10 12:43:58,,The Man in the High Castle
5388446,2018-12-10 13:35:55,1,9,21667900,64607396,2018-12-10 13:35:50,,The Man in the High Castle
5388447,2018-12-10 16:32:01,1,10,21667900,64607387,2018-12-10 16:32:01,,The Man in the High Castle
5391641,2018-11-24 09:01:25,1,1,21667900,64592390,2018-11-24 09:01:25,,Victoria
5427452,2024-05-08 02:59:27,2,1,21667900,65235974,2024-05-08 02:59:27,,Better Call Saul
5440797,2019-05-30 05:04:51,4,1,21667900,64818234,2019-05-30 05:04:51,,House of Cards (US)
5440798,2019-05-30 10:20:32,4,2,21667900,64818234,2019-05-30 10:20:32,,House of Cards (US)
5440802,2019-05-30 11:25:09,4,3,21667900,64818236,2019-05-30 11:25:06,,House of Cards (US)
5440804,2019-05-30 16:17:29,4,4,21667900,64818263,2019-05-30 16:17:26,,House of Cards (US)
5440806,2019-05-31 03:38:38,4,5,21667900,64818243,2019-05-31 03:38:38,,House of Cards (US)
5440807,2019-05-31 04:28:41,4,6,21667900,64818234,2019-05-31 04:28:41,,House of Cards (US)
5440808,2019-05-31 09:19:58,4,7,21667900,64818234,2019-05-31 09:19:58,,House of Cards (US)
5440809,2019-05-31 10:14:58,4,8,21667900,64818234,2019-05-31 10:14:56,,House of Cards (US)
5440812,2019-05-31 11:31:49,4,9,21667900,64818234,2019-05-31 11:31:49,,House of Cards (US)
5440813,2019-05-31 12:30:52,4,10,21667900,64818236,2019-05-31 12:30:52,,House of Cards (US)
5440814,2019-06-02 09:38:44,4,11,21667900,64818234,2019-06-02 09:38:40,,House of Cards (US)
5440815,2019-06-02 10:43:40,4,12,21667900,64818234,2019-06-02 10:43:40,,House of Cards (US)
5440817,2019-06-02 16:26:40,4,13,21667900,64818234,2019-06-02 16:26:40,,House of Cards (US)
5444137,2020-04-22 13:51:25,1,2,21667900,63614903,2020-04-22 13:51:25,,Quarry
5444138,2020-04-23 05:05:26,1,3,21667900,63614903,2020-04-23 05:05:26,,Quarry
5444139,2020-04-23 05:05:39,1,4,21667900,63614903,2020-04-23 05:05:39,,Quarry
5444140,2020-04-23 08:41:45,1,5,21667900,63614903,2020-04-23 08:41:45,,Quarry
5444141,2020-04-23 11:18:48,1,6,21667900,63614903,2020-04-23 11:18:48,,Quarry
5444142,2020-04-23 12:24:05,1,7,21667900,63614903,2020-04-23 12:24:05,,Quarry
