series_name,season_number,episode_number,user_id,episode_id,vote_key
Outlander,4,11,21667900,6944527,6944527-21667900-19
Outlander,4,12,21667900,6944528,6944528-21667900-20
Outlander,4,13,21667900,6944529,6944529-21667900-20
Vikings,5,16,21667900,6968885,6968885-21667900-20
Vikings,5,17,21667900,6968888,6968888-21667900-20
Vikings,5,19,21667900,6968894,6968894-21667900-20
Vikings,5,19,21667900,6968894,6968894-21667900-19
Vikings,5,20,21667900,6968896,6968896-21667900-20
This Is Us,3,13,21667900,7006197,7006197-21667900-20
The Handmaid's Tale,3,1,21667900,7036361,7036361-21667900-29
The Handmaid's Tale,3,1,21667900,7036361,7036361-21667900-3
The Handmaid's Tale,3,2,21667900,7036363,7036363-21667900-5
The Handmaid's Tale,3,2,21667900,7036363,7036363-21667900-29
The Handmaid's Tale,3,3,21667900,7036366,7036366-21667900-29
The Handmaid's Tale,3,3,21667900,7036366,7036366-21667900-5
The Handmaid's Tale,3,4,21667900,7036371,7036371-21667900-3
This Is Us,3,14,21667900,7043113,7043113-21667900-5
This Is Us,3,16,21667900,7043116,7043116-21667900-5
The Light in Your Eyes,1,10,21667900,7048353,7048353-21667900-3
The Light in Your Eyes,1,12,21667900,7048358,7048358-21667900-3
Formula 1: Drive to Survive,1,1,21667900,7051266,7051266-21667900-29
